10	12
22	26
76	93
113	121
136	139
180	186
287	294
336	344
358	361
372	374
403	409
403	267
509	130
535	324
603	24
650	655
704	518
710	713
723	340
753	285
785	787
792	796
815	816
819	166
844	119
857	860
878	882
884	885
889	891
896	394
904	5
904	905
904	771
933	194
940	662
945	195
958	960
989	990
999	383
1011	1023
1011	1026
1027	285
1038	1040
1057	1051
1067	1068
1109	421
1109	1000
1125	1081
1125	1084
1142	425
1149	712
1177	1183
1194	1197
1223	438
1239	1243
1247	1252
1286	1289
1295	1297
1309	1020
1320	1323
1380	1383
1387	1390
1423	1424
1466	1180
1481	1482
1546	114
1564	1565
1571	1576
1571	1582
1628	1631
1671	1081
1671	1086
1672	1673
1692	1314
1692	1576
1692	1634
1701	239
1701	1495
1745	1746
1748	544
1771	383
1800	986
1821	1024
1828	1494
1828	1498
1840	507
1841	251
1875	636
1875	299
1875	1887
1875	1024
1875	1365
1875	1679
1914	1918
1925	1938
1967	1156
2000	1153
2020	45
2026	544
2026	1310
2046	1020
2046	1890
2063	2067
2072	2053
2085	299
2100	1540
2117	1311
2117	1003
2117	1149
2117	2123
2117	2124
2130	619
2172	2173
2176	1568
2185	383
2186	1788
2192	2196
2205	909
2216	2221
2216	2224
2233	2234
2265	2270
2271	2273
2271	1501
2275	1996
2275	2283
2319	975
2324	1672
2332	1024
2335	2336
2335	2337
2335	2121
2348	2351
2352	1703
2352	383
2387	544
2402	1635
2402	2366
2415	1632
2415	1625
2417	2425
2427	1508
2428	1118
2502	856
2543	2545
2590	2593
2603	1632
2603	2609
2616	352
2630	1025
2630	2012
2641	281
2641	544
2641	982
2653	2657
2665	2666
2669	1100
2689	769
2689	1289
2706	2579
2712	324
2731	2580
2731	2735
2737	2738
2744	1317
2744	2758
2771	2351
2771	2575
2787	1896
2824	2030
2829	2767
2832	1756
2882	839
2893	1896
2900	1343
2900	2308
2906	672
2906	961
2934	130
2951	2601
2969	1145
2979	802
2979	1346
2987	1796
2987	2994
2987	2460
3019	3025
3045	1699
3061	2266
3091	3095
3102	1500
3117	1587
3123	3124
3123	1404
3123	2113
3157	3163
3166	3169
3184	1287
3201	1729
3211	3216
3221	323
3235	713
3235	2152
3251	1775
3268	2278
3286	2661
3298	1309
3328	1019
3328	1806
3345	1000
3345	1118
3345	1677
3345	3350
3345	3352
3395	2521
3405	2726
3414	1824
3426	3427
3435	1702
3443	2635
3443	2155
3443	2348
3452	519
3461	2082
3489	3500
3512	3087
3525	3532
3537	1011
3537	2352
3537	3539
3544	1632
3549	1095
3549	975
3558	2366
3566	1924
3584	1984
3594	856
3594	2502
3594	2999
3594	3561
3614	2814
3621	3623
3639	2334
3639	2823
3639	3192
3650	1501
3654	3657
3659	1717
3677	2777
3697	1700
3703	1115
3703	2786
3712	3713
3741	1717
3747	3749
3758	3470
3763	2071
3780	3782
3780	3788
3789	2155
3810	3311
3830	3832
3830	3785
3838	2380
3839	1712
3839	3842
3839	2269
3839	2265
3839	2775
3839	3793
3839	3048
3839	3562
3874	3876
3874	3880
3889	3892
3889	3894
3909	289
3915	2733
3921	2831
3923	1566
3923	1915
3923	986
3923	3925
3923	3285
3932	2925
3939	1466
3984	3699
4043	1681
4043	2821
4050	1699
4050	1584
4055	4056
4079	2342
4089	1329
4089	4093
4094	411
4125	1642
4147	3354
4147	3787
4152	1968
4152	4154
4159	114
4163	3079
4180	4182
4180	383
4197	1639
4200	1371
4200	2114
4200	2697
4200	2817
4200	2155
4200	3188
4200	3192
4200	4217
4200	4222
4234	4237
4242	4249
4274	4153
4279	3030
4312	2980
4333	1552
4333	4334
4337	1572
4371	4217
4371	4377
4406	1580
4406	3339
4427	4431
4435	4154
4435	4384
4451	1486
4459	4465
4478	3264
4478	3260
4484	4196
4484	4489
4484	4388
4484	4398
4492	1161
4492	2576
4492	3680
4492	4494
4492	4135
4492	4121
4492	4498
4532	418
4532	299
4553	4554
4553	4555
4566	577
4573	4397
4574	2786
4574	4395
4575	4310
4589	2552
4589	4593
4595	4415
4604	4196
4604	4317
4604	4385
4605	4609
4610	1497
4620	4623
4628	4629
4628	2165
4646	3286
4648	2344
4648	2366
4651	4653
4654	1752
4674	4683
4690	4217
4693	1576
4693	4326
4693	4695
4700	2506
4707	42
4721	2152
4721	4723
4730	2161
4743	4747
4777	4775
4779	2816
4779	4698
4813	4814
4820	4821
4828	4032
4835	3784
4835	4229
4840	1379
4860	4861
4863	4864
4886	4890
4892	2550
4892	4900
4892	4901
4908	128
4912	1024
4912	3984
4912	4143
4919	4926
4919	4927
4941	212
4966	4384
4971	4972
4993	4995
4997	4999
5018	5019
5018	4683
5027	4323
5070	986
5089	4327
5093	783
5093	2346
5093	2726
5093	4122
5093	3405
5100	2919
5109	299
5113	5118
5130	2450
5136	467
5156	5160
5232	1919
5232	4376
5239	4133
5251	755
5258	1834
5296	5299
5310	4096
5314	647
5314	648
5318	4194
5330	5331
5347	5350
5358	3934
5363	2391
5363	3185
5363	4685
5363	5112
5374	1969
5381	714
5399	5381
5404	4496
5410	3118
5417	1622
5426	5427
5426	3354
5430	645
5430	1419
5439	1894
5444	4889
5444	5447
5456	4244
5466	2636
5483	2270
5487	1622
5501	1495
5501	2982
5530	3424
5544	5550
5556	3409
5556	4326
5561	2399
5566	4549
5590	3311
5600	3631
5604	5605
5604	2421
5611	5077
5611	5081
5621	5226
5634	5639
5661	5558
5669	5670
5687	4648
5690	66
5715	5721
5728	4096
5750	3597
5752	5762
5763	2160
5763	2161
5768	5770
5778	5109
5794	5796
5806	5048
5806	4900
5806	5818
5823	4166
5857	5859
